date,lo20,hi20,lo10,hi10
200207,-5.71,-11.83,-5.92,-17.87
200208,0.96,-0.34,2.16,1.29
200209,-10.18,-16.13,-8.46,-17.62
200210,5.01,12.31,4.51,11.48
200211,2.25,21.27,0.64,28.36
200212,-3.4,-13.39,-1.71,-13.7
200301,-2.76,0.7,-2.43,2.11
200302,-1.5,-3.99,-1.93,-5.45
200303,2.04,2.09,1.43,1.78
200304,6.94,15.51,8.29,17.85
200305,3.18,18.19,2.8,21.46
200306,1.07,3.8,0.36,4.02
200307,1.98,6.65,2.34,8.37
200308,0.65,6.46,1.77,5.83
200309,0.27,-1.5,-0.57,-0.34
200310,3.71,11.12,5.03,12.26
200311,1.03,3.46,0.24,3.42
200312,4.82,1.62,4.62,1.49
200401,1.23,7.31,1.15,9.37
200402,1.79,0.09,2.02,-0.48
200403,-1.78,-1.14,-1.39,-1.21
200404,-0.72,-6.36,-0.4,-7.75
200405,0.73,3.33,1.56,3.95
200406,1.24,1.74,1.57,2.09
200407,-1.83,-11,-1.71,-12.26
200408,1.83,-3.36,2.22,-4.12
200409,-0.19,5.07,-0.44,4.78
200410,0.86,2.43,0.49,1.14
200411,3.66,7.65,3.18,7.7
200412,3.2,6.09,2.99,7.19
200501,-1.98,-5.89,-1.73,-5.75
200502,1.36,3.26,1.61,0.89
200503,-1.78,-4.01,-1.69,-4.97
200504,-0.34,-4.91,-0.13,-4.36
200505,2.25,7.5,1.44,8.5
200506,-1.08,2.9,-1.59,3.21
200507,2.07,7.53,1.55,7.51
200508,-1.09,-1.79,-0.83,-1.79
200509,0.33,1.06,-0.08,0.66
200510,-1,-3.56,0.52,-3.68
200511,3.76,5.12,4.03,5.6
200512,-0.2,2.04,-0.58,1.9
200601,1.42,9.65,0.59,10.92
200602,1.28,-3.66,1.81,-2.02
200603,1.29,4.27,1.15,4.47
200604,1.5,2.74,2.92,1.71
200605,-1.45,-7.33,-1.06,-7.46
200606,0.3,-0.67,-0.18,-0.34
200607,2.42,-6.79,2.55,-8.44
200608,2.19,3.54,2.75,4.3
200609,2.52,1.1,2.83,0.66
200610,2.36,5.15,2.38,5.25
200611,0.83,5.89,0.59,4.57
200612,2.92,-1.46,3.27,-1.62
200701,0.73,2.72,0.26,2.01
200702,-2.07,-0.74,-1.46,-1.85
200703,0.55,2.2,0.18,0.79
200704,3.5,3.02,3.68,2.81
200705,2.72,4.22,2.37,3.42
200706,-1.78,-0.84,-2.28,-0.84
200707,-3.2,-5.24,-3.22,-3.83
200708,2.58,-0.64,2.85,-0.21
200709,3.78,4.23,3.98,3.67
200710,1.47,1.55,1.38,0.54
200711,-2.63,-10.29,-2.5,-12.13
200712,-0.71,-1.01,-0.25,-1.21
200801,-5.38,-7.98,-5.13,-10.31
200802,-2.26,-6.4,-2.29,-8.17
200803,0.61,-4.33,1.21,-5.73
200804,2.94,7.19,2.2,6.05
200805,1.61,3.16,0.85,1.87
200806,-7.41,-7.35,-7.47,-8.76
200807,0.5,-5.06,1.83,-0.85
200808,2.51,-3.09,2.36,-3.35
200809,-5.12,-22.17,-3.79,-27.21
200810,-12.95,-24.35,-11.7,-19.27
200811,-3.56,-16.71,-3.7,-19.71
200812,1.37,2.76,0.92,3.55
200901,-6.48,-12.18,-7.02,-2.25
200902,-8.54,-18.57,-8.47,-19.73
200903,6.18,18.52,5.25,20.82
200904,4.56,32.06,3.41,32.51
200905,3.56,15.45,3.63,15.76
200906,1.51,0.91,1.01,-0.33
200907,7.02,15.25,5.94,13.37
200908,1.59,13.05,1.12,17.4
200909,2.78,7.46,2.14,7.15
200910,-0.2,-12.99,0.53,-15.09
200911,5.44,5.1,5.8,5.2
200912,1.6,7.12,0.59,5.26
201001,-3.54,-3.17,-2.1,-4.42
201002,2.54,6.07,2.45,4.83
201003,4.5,9.12,3.92,7.95
201004,1.03,6.43,0.79,7.48
201005,-7.96,-8.54,-7.3,-10.95
201006,-4.22,-10.14,-2.2,-11.03
201007,6.28,9.75,6.56,8.85
201008,-3.05,-5.24,-2.65,-7.74
201009,7.61,13.48,7.13,14.29
201010,2.93,4.02,2.84,2.38
201011,-0.4,2.89,-0.46,2.73
201012,5.56,5.95,4.48,5.98
201101,1.52,-0.71,1.86,-0.58
